"uri","constituency type","ended date","gss code","label","os name","started date"
"http://data.parliament.uk/resources/146221",,"1974-02-28",,"St Pancras North",,"1950-02-23"
"http://data.parliament.uk/resources/146222","Borough","1983-06-09",,"St Pancras North",,"1974-02-28"
"http://data.parliament.uk/resources/146223",,"1950-02-23",,"St Pancras South East",,"1918-12-14"
"http://data.parliament.uk/resources/146224",,"1950-02-23",,"St Pancras South West",,"1918-12-14"
"http://data.parliament.uk/resources/146225",,"1950-02-23",,"Stafford",,"1918-12-14"
"http://data.parliament.uk/resources/146226","County","2010-05-06",,"Stafford","Stafford Co Const","1997-05-01"
"http://data.parliament.uk/resources/146227","County","1997-05-01",,"Stafford",,"1983-06-09"
"http://data.parliament.uk/resources/147230","County",,"E14000965","Stafford","Stafford Co Const","2010-05-06"
"http://data.parliament.uk/resources/146228",,"1974-02-28",,"Stafford & Stone",,"1950-02-23"
"http://data.parliament.uk/resources/146229","County","1983-06-09",,"Stafford & Stone",,"1974-02-28"
"http://data.parliament.uk/resources/146230","County","1997-05-01",,"Staffordshire Moorlands",,"1983-06-09"
"http://data.parliament.uk/resources/146231","County","2010-05-06",,"Staffordshire Moorlands","Staffordshire Moorlands Co Const","1997-05-01"
"http://data.parliament.uk/resources/147231","County",,"E14000966","Staffordshire Moorlands","Staffordshire Moorlands Co Const","2010-05-06"
"http://data.parliament.uk/resources/147210","County",,"E14000945","South Staffordshire","South Staffordshire Co Const","2010-05-06"
"http://data.parliament.uk/resources/146232",,"1950-02-23",,"Stalybridge & Hyde",,"1918-12-14"
"http://data.parliament.uk/resources/146233",,"1974-02-28",,"Stalybridge & Hyde",,"1950-02-23"
"http://data.parliament.uk/resources/146234","County","1983-06-09",,"Stalybridge & Hyde",,"1974-02-28"
"http://data.parliament.uk/resources/146235","County","1997-05-01",,"Stalybridge & Hyde",,"1983-06-09"
"http://data.parliament.uk/resources/146236","County","2010-05-06",,"Stalybridge & Hyde","Stalybridge and Hyde Co Const","1997-05-01"
"http://data.parliament.uk/resources/147232","County",,"E14000967","Stalybridge and Hyde","Stalybridge and Hyde Co Const","2010-05-06"
"http://data.parliament.uk/resources/146237","County","1997-05-01",,"Stamford & Spalding",,"1983-06-09"
"http://data.parliament.uk/resources/146238",,"1974-02-28",,"Stepney",,"1950-02-23"
"http://data.parliament.uk/resources/146239","Borough","1983-06-09",,"Stepney & Poplar",,"1974-02-28"
"http://data.parliament.uk/resources/146240","County","1997-05-01",,"Stevenage",,"1983-06-09"
"http://data.parliament.uk/resources/146241","County","2010-05-06",,"Stevenage","Stevenage Co Const","1997-05-01"
"http://data.parliament.uk/resources/147233","County",,"E14000968","Stevenage","Stevenage Co Const","2010-05-06"
"http://data.parliament.uk/resources/146242","County","1997-05-01",,"Stirling",,"1983-06-09"
"http://data.parliament.uk/resources/146243","County","2005-05-05",,"Stirling","Stirling Co Const","1997-05-01"
"http://data.parliament.uk/resources/146244","County",,"S14000057","Stirling","Stirling Co Const","2005-04-05"
"http://data.parliament.uk/resources/146245",,"1950-02-23",,"Stirling & Falkirk",,"1918-12-14"
"http://data.parliament.uk/resources/146246",,"1974-02-28",,"Stirling & Falkirk Burghs",,"1950-02-23"
"http://data.parliament.uk/resources/146247","Borough","1983-06-09",,"Stirling, Falkirk and Grangemouth",,"1974-02-28"
"http://data.parliament.uk/resources/146248",,"1950-02-23",,"Stirlingshire and Clackmannanshire, Clackmannan and Eastern",,"1918-12-14"
"http://data.parliament.uk/resources/146249",,"1950-02-23",,"Stirlingshire and Clackmannanshire, Western",,"1918-12-14"
"http://data.parliament.uk/resources/146250",,"1950-02-23",,"Stockport",,"1918-12-14"
"http://data.parliament.uk/resources/146251","Borough","1997-05-01",,"Stockport",,"1983-06-09"
"http://data.parliament.uk/resources/146252","Borough","2010-05-06",,"Stockport","Stockport Boro Const","1997-05-01"
"http://data.parliament.uk/resources/147234","Borough",,"E14000969","Stockport","Stockport Boro Const","2010-05-06"
"http://data.parliament.uk/resources/146253",,"1974-02-28",,"Stockport North",,"1950-02-23"
"http://data.parliament.uk/resources/146254","Borough","1983-06-09",,"Stockport North",,"1974-02-28"
"http://data.parliament.uk/resources/146255",,"1974-02-28",,"Stockport South",,"1950-02-23"
