"","observation_path","chamber_path","constituency_path","observation_number","chamber_number","chamber_name","constituency_number","constituency_name","country_name","province_name"
"847","/chamber-1/constituency-847","/chamber-1","/chamber-1/constituency-847","847",1,"House of Commons","847","Morley and Leeds South",NA,NA
"848","/chamber-1/constituency-848","/chamber-1","/chamber-1/constituency-848","848",1,"House of Commons","848","Morley and Outwood","England",NA
"849","/chamber-1/constituency-849","/chamber-1","/chamber-1/constituency-849","849",1,"House of Commons","849","Morley and Rothwell",NA,NA
"850","/chamber-1/constituency-850","/chamber-1","/chamber-1/constituency-850","850",1,"House of Commons","850","Morpeth",NA,NA
"851","/chamber-1/constituency-851","/chamber-1","/chamber-1/constituency-851","851",1,"House of Commons","851","Mossley",NA,NA
"852","/chamber-1/constituency-852","/chamber-1","/chamber-1/constituency-852","852",1,"House of Commons","852","Motherwell",NA,NA
"853","/chamber-1/constituency-853","/chamber-1","/chamber-1/constituency-853","853",1,"House of Commons","853","Motherwell and Wishaw","Scotland",NA
"854","/chamber-1/constituency-854","/chamber-1","/chamber-1/constituency-854","854",1,"House of Commons","854","Motherwell North",NA,NA
"855","/chamber-1/constituency-855","/chamber-1","/chamber-1/constituency-855","855",1,"House of Commons","855","Motherwell South",NA,NA
"856","/chamber-1/constituency-856","/chamber-1","/chamber-1/constituency-856","856",1,"House of Commons","856","Na h-Eileanan an Iar","Scotland",NA
"857","/chamber-1/constituency-857","/chamber-1","/chamber-1/constituency-857","857",1,"House of Commons","857","Nantwich",NA,NA
"858","/chamber-1/constituency-858","/chamber-1","/chamber-1/constituency-858","858",1,"House of Commons","858","Neath","Wales",NA
"859","/chamber-1/constituency-859","/chamber-1","/chamber-1/constituency-859","859",1,"House of Commons","859","Nelson and Colne",NA,NA
"860","/chamber-1/constituency-860","/chamber-1","/chamber-1/constituency-860","860",1,"House of Commons","860","New Forest",NA,NA
"861","/chamber-1/constituency-861","/chamber-1","/chamber-1/constituency-861","861",1,"House of Commons","861","New Forest and Christchurch",NA,NA
"862","/chamber-1/constituency-862","/chamber-1","/chamber-1/constituency-862","862",1,"House of Commons","862","New Forest East","England",NA
"863","/chamber-1/constituency-863","/chamber-1","/chamber-1/constituency-863","863",1,"House of Commons","863","New Forest West","England",NA
"864","/chamber-1/constituency-864","/chamber-1","/chamber-1/constituency-864","864",1,"House of Commons","864","Newark","England",NA
"865","/chamber-1/constituency-865","/chamber-1","/chamber-1/constituency-865","865",1,"House of Commons","865","Newbury","England",NA
"866","/chamber-1/constituency-866","/chamber-1","/chamber-1/constituency-866","866",1,"House of Commons","866","Newcastle upon Tyne Central","England",NA
"867","/chamber-1/constituency-867","/chamber-1","/chamber-1/constituency-867","867",1,"House of Commons","867","Newcastle upon Tyne East","England",NA
"868","/chamber-1/constituency-868","/chamber-1","/chamber-1/constituency-868","868",1,"House of Commons","868","Newcastle upon Tyne East and Wallsend",NA,NA
"869","/chamber-1/constituency-869","/chamber-1","/chamber-1/constituency-869","869",1,"House of Commons","869","Newcastle upon Tyne North","England",NA
