"","committee_acronym","parliament_number","session_number","date_change","position","full_name"
"42.47","BILI","41","1","2011-09-27","Associate Member","Laurie Hawn"
"42.48","BILI","41","1","2011-09-27","Associate Member","Bryan Hayes"
"42.49","BILI","41","1","2011-09-27","Associate Member","Russ Hiebert"
"42.50","BILI","41","1","2011-09-27","Associate Member","Randy Hoback"
"42.51","BILI","41","1","2011-09-27","Associate Member","Ed Holder"
"42.52","BILI","41","1","2011-09-27","Associate Member","Roxanne James"
"42.53","BILI","41","1","2011-09-27","Associate Member","Brian Jean"
"42.54","BILI","41","1","2011-09-27","Associate Member","Randy Kamp"
"42.55","BILI","41","1","2011-09-27","Associate Member","Gerald Keddy"
"42.56","BILI","41","1","2011-09-27","Associate Member","Greg Kerr"
"42.57","BILI","41","1","2011-09-27","Associate Member","Ed Komarnicki"
"42.58","BILI","41","1","2011-09-27","Associate Member","Daryl Kramp"
"42.59","BILI","41","1","2011-09-27","Associate Member","Mike Lake"
"42.60","BILI","41","1","2011-09-27","Associate Member","Guy Lauzon"
"42.61","BILI","41","1","2011-09-27","Associate Member","Ryan Leef"
"42.62","BILI","41","1","2011-09-27","Associate Member","Kellie Leitch"
"42.63","BILI","41","1","2011-09-27","Associate Member","Pierre Lemieux"
"42.64","BILI","41","1","2011-09-27","Associate Member","Chungsen Leung"
"42.65","BILI","41","1","2011-09-27","Associate Member","Wladyslaw Lizon"
"42.66","BILI","41","1","2011-09-27","Associate Member","Ben Lobb"
"42.67","BILI","41","1","2011-09-27","Associate Member","Tom Lukiwski"
"42.68","BILI","41","1","2011-09-27","Associate Member","James Lunney"
"42.69","BILI","41","1","2011-09-27","Associate Member","Dave MacKenzie"
"42.70","BILI","41","1","2011-09-27","Associate Member","Colin Mayes"
"42.71","BILI","41","1","2011-09-27","Associate Member","Phil McColeman"
"42.72","BILI","41","1","2011-09-27","Associate Member","Cathy McLeod"
"42.73","BILI","41","1","2011-09-27","Associate Member","Costas Menegakis"
"42.74","BILI","41","1","2011-09-27","Associate Member","Rob Merrifield"
"42.75","BILI","41","1","2011-09-27","Associate Member","Larry Miller"
"42.76","BILI","41","1","2011-09-27","Associate Member","Rob Moore"
"42.77","BILI","41","1","2011-09-27","Associate Member","Rick Norlock"
"42.78","BILI","41","1","2011-09-27","Associate Member","Deepak Obhrai"
"42.79","BILI","41","1","2011-09-27","Associate Member","Tilly O'Neill Gordon"
"42.80","BILI","41","1","2011-09-27","Associate Member","Ted Opitz"
"42.81","BILI","41","1","2011-09-27","Associate Member","LaVar Payne"
"42.82","BILI","41","1","2011-09-27","Associate Member","Pierre Poilievre"
"42.83","BILI","41","1","2011-09-27","Associate Member","Joe Preston"
"42.84","BILI","41","1","2011-09-27","Associate Member","James Rajotte"
"42.85","BILI","41","1","2011-09-27","Associate Member","Brent Rathgeber"
"42.86","BILI","41","1","2011-09-27","Associate Member","Scott Reid"
"42.87","BILI","41","1","2011-09-27","Associate Member","Michelle Rempel"
"42.88","BILI","41","1","2011-09-27","Associate Member","Lee Richardson"
"42.89","BILI","41","1","2011-09-27","Associate Member","Greg Rickford"
"42.90","BILI","41","1","2011-09-27","Associate Member","Andrew Saxton"
"42.91","BILI","41","1","2011-09-27","Associate Member","Gary Schellenberger"
"42.92","BILI","41","1","2011-09-27","Associate Member","Kyle Seeback"
"42.93","BILI","41","1","2011-09-27","Associate Member","Bev Shipley"
"42.94","BILI","41","1","2011-09-27","Associate Member","Devinder Shory"
"42.95","BILI","41","1","2011-09-27","Associate Member","Joy Smith"
"42.96","BILI","41","1","2011-09-27","Associate Member","Robert Sopuck"
"42.97","BILI","41","1","2011-09-27","Associate Member","Kevin Sorenson"
"42.98","BILI","41","1","2011-09-27","Associate Member","Brian Storseth"
