Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Pierre,Nantel,Longueuil—Saint-Hubert,Quebec,Independent,10/19/15 0:00,
,Eva,Nassif,Vimy,Quebec,Liberal,10/19/15 0:00,
,John,Nater,Perth—Wellington,Ontario,Conservative,10/19/15 0:00,
Hon.,Robert,Nault,Kenora,Ontario,Liberal,10/19/15 0:00,
Hon.,Mary,Ng,Markham—Thornhill,Ontario,Liberal,4/3/17 0:00,
Hon.,Rob,Nicholson,Niagara Falls,Ontario,Conservative,10/19/15 0:00,
,Alexander,Nuttall,Barrie—Springwater—Oro-Medonte,Ontario,Conservative,10/19/15 0:00,
Hon.,Deepak,Obhrai,Calgary Forest Lawn,Alberta,Conservative,10/19/15 0:00,8/2/19 23:59
,Jennifer,O'Connell,Pickering—Uxbridge,Ontario,Liberal,10/19/15 0:00,
,Robert,Oliphant,Don Valley West,Ontario,Liberal,10/19/15 0:00,
,John,Oliver,Oakville,Ontario,Liberal,10/19/15 0:00,
Hon.,Seamus,O'Regan,St. John's South—Mount Pearl,Newfoundland and Labrador,Liberal,10/19/15 0:00,
Hon.,Erin,O'Toole,Durham,Ontario,Conservative,10/19/15 0:00,
,Robert-Falcon,Ouellette,Winnipeg Centre,Manitoba,Liberal,10/19/15 0:00,
Hon.,Denis,Paradis,Brome—Missisquoi,Quebec,Liberal,10/19/15 0:00,
,Pierre,Paul-Hus,Charlesbourg—Haute-Saint-Charles,Quebec,Conservative,10/19/15 0:00,
,Monique,Pauzé,Repentigny,Quebec,Bloc Québécois,10/19/15 0:00,
,Joe,Peschisolido,Steveston—Richmond East,British Columbia,Liberal,10/19/15 0:00,
,Kyle,Peterson,Newmarket—Aurora,Ontario,Liberal,10/19/15 0:00,
Hon.,Ginette,Petitpas Taylor,Moncton—Riverview—Dieppe,New Brunswick,Liberal,10/19/15 0:00,
Hon.,Jane,Philpott,Markham—Stouffville,Ontario,Independent,10/19/15 0:00,
,Michel,Picard,Montarville,Quebec,Liberal,10/19/15 0:00,
,Louis,Plamondon,Bécancour—Nicolet—Saurel,Quebec,Bloc Québécois,10/19/15 0:00,
Hon.,Pierre,Poilievre,Carleton,Ontario,Conservative,10/19/15 0:00,
,Jean-Claude,Poissant,La Prairie,Quebec,Liberal,10/19/15 0:00,
,Anne Minh-Thu,Quach,Salaberry—Suroît,Quebec,NDP,10/19/15 0:00,
Hon.,Carla,Qualtrough,Delta,British Columbia,Liberal,10/19/15 0:00,
Hon.,Lisa,Raitt,Milton,Ontario,Conservative,10/19/15 0:00,
,Tracey,Ramsey,Essex,Ontario,NDP,10/19/15 0:00,
,Murray,Rankin,Victoria,British Columbia,NDP,10/19/15 0:00,9/1/19 23:59
,Yasmin,Ratansi,Don Valley East,Ontario,Liberal,10/19/15 0:00,
,Alain,Rayes,Richmond—Arthabaska,Quebec,Conservative,10/19/15 0:00,
Hon.,Geoff,Regan,Halifax West,Nova Scotia,Liberal,10/19/15 0:00,
