"uri","bill type","date","home page","home page > uri","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/393417","Ten Minute Rule","2014-05-15","agriculturalaccidentsrecords.html","http://services.parliament.uk/bills/agriculturalaccidentsrecords.html","Agricultural Accidents (Records)","2013-2014","Bill Wiggin","Agricultural Accidents (Records)"
"http://data.parliament.uk/resources/393418","Ten Minute Rule","2014-05-15","safeandsanctuaryroomsexemptionfromunderoccupancypenalty.html","http://services.parliament.uk/bills/safeandsanctuaryroomsexemptionfromunderoccupancypenalty.html","Safe and Sanctuary Rooms (Exemption from Under-Occupancy Penalty)","2013-2014","Alison Seabeck","Safe and Sanctuary Rooms (Exemption from Under-Occupancy Penalty)"
"http://data.parliament.uk/resources/393419","Ten Minute Rule","2014-05-15","nationalplanningpolicyframeworkcommunityinvolvement.html","http://services.parliament.uk/bills/nationalplanningpolicyframeworkcommunityinvolvement.html","National Planning Policy Framework (Community Involvement)","2013-2014","Greg Mulholland","National Planning Policy Framework (Community Involvement)"
"http://data.parliament.uk/resources/393420","Ten Minute Rule","2014-05-15","pupilsatriskofeducationaldisadvantage.html","http://services.parliament.uk/bills/pupilsatriskofeducationaldisadvantage.html","Pupils at Risk of Educational Disadvantage","2013-2014","Chris Skidmore","Pupils at Risk of Educational Disadvantage"
"http://data.parliament.uk/resources/393421","Ten Minute Rule","2014-05-15","smokealarmsprivaterentedsector.html","http://services.parliament.uk/bills/smokealarmsprivaterentedsector.html","Smoke Alarms (Private Rented Sector)","2013-2014","Nick Raynsford","Smoke Alarms (Private Rented Sector)"
"http://data.parliament.uk/resources/393422","Ten Minute Rule","2014-05-15","prohibitionofunpaidinternships.html","http://services.parliament.uk/bills/prohibitionofunpaidinternships.html","Prohibition of Unpaid Internships","2013-2014","Alec Shelbrooke","Prohibition of Unpaid Internships"
"http://data.parliament.uk/resources/393423","Ten Minute Rule","2014-05-15","foodlabellingsugarcontent.html","http://services.parliament.uk/bills/foodlabellingsugarcontent.html","Food Labelling (Sugar Content)","2013-2014","Keith Vaz","Food Labelling (Sugar Content)"
"http://data.parliament.uk/resources/393245","HoL Private","2014-05-08","arbitrationandmediationequalityservices.html","http://services.parliament.uk/bills/arbitrationandmediationequalityservices.html","Arbitration and Mediation (Equality) Services","2013-2014","Baroness Cox","Arbitration and Mediation (Equality) Services"
"http://data.parliament.uk/resources/393199","Government","2014-03-14","childrenandfamilies.html","http://services.parliament.uk/bills/childrenandfamilies.html","Children and Families","2012-2013","Lord Nash","Children and Families"
"http://data.parliament.uk/resources/393199","Government","2014-03-14","childrenandfamilies.html","http://services.parliament.uk/bills/childrenandfamilies.html","Children and Families","2013-2014","Michael Gove","Children and Families"
