"uri","bill type","date","home page","home page > uri","identifier","label","session > display name","sponsors > sponsor printed","title"
"http://data.parliament.uk/resources/516802","Ten Minute Rule","2016-05-06","landlordandtenantreform.html","http://services.parliament.uk/bills/2015-16/landlordandtenantreform.html","1768","Landlord and Tenant (Reform)","2015-2016","Tom Brake","Landlord and Tenant (Reform) Bill"
"http://data.parliament.uk/resources/517620","Ten Minute Rule","2016-05-06","transparencyandaccountabilityeuropeanunion.html","http://services.parliament.uk/bills/2015-16/transparencyandaccountabilityeuropeanunion.html","1770","Transparency and Accountability (European Union)","2015-2016","Caroline Lucas","Transparency and Accountability (European Union) Bill"
"http://data.parliament.uk/resources/517894","Ten Minute Rule","2016-05-06","townandcountryplanningelectricitygeneratingconsent.html","http://services.parliament.uk/bills/2015-16/townandcountryplanningelectricitygeneratingconsent.html","1771","Town and Country Planning (Electricity Generating Consent)","2015-2016","Tom Blenkinsop","Town and Country Planning (Electricity Generating Consent) Bill"
"http://data.parliament.uk/resources/393717","Government","2016-05-05","tradeunion.html","http://services.parliament.uk/bills/2015-16/tradeunion.html","1685","Trade Union","2015-2016","Baroness Neville-Rolfe","Trade Union Bill"
"http://data.parliament.uk/resources/393717","Government","2016-05-05","tradeunion.html","http://services.parliament.uk/bills/2015-16/tradeunion.html","1685","Trade Union","2015-2016","Sajid Javid","Trade Union Bill"
"http://data.parliament.uk/resources/434273","Government","2016-05-05","enterprise.html","http://services.parliament.uk/bills/2015-16/enterprise.html","1696","Enterprise","2015-2016","Baroness Neville-Rolfe","Enterprise Bill [HL]"
"http://data.parliament.uk/resources/434273","Government","2016-05-05","enterprise.html","http://services.parliament.uk/bills/2015-16/enterprise.html","1696","Enterprise","2015-2016","Sajid Javid","Enterprise Bill [HL]"
"http://data.parliament.uk/resources/434280","Government","2016-05-05","bankofenglandandfinancialservices.html","http://services.parliament.uk/bills/2015-16/bankofenglandandfinancialservices.html","1703","Bank of England and Financial Services","2015-2016","Harriet Baldwin","Bank of England and Financial Services Bill [HL]"
"http://data.parliament.uk/resources/434280","Government","2016-05-05","bankofenglandandfinancialservices.html","http://services.parliament.uk/bills/2015-16/bankofenglandandfinancialservices.html","1703","Bank of England and Financial Services","2015-2016","Lord Bridges of Headley","Bank of England and Financial Services Bill [HL]"
"http://data.parliament.uk/resources/452753","Government","2016-05-05","northernirelandstormontagreementandimplementationplan.html","http://services.parliament.uk/bills/2015-16/northernirelandstormontagreementandimplementationplan.html","1744","Northern Ireland (Stormont Agreement and Implementation Plan)","2015-2016","Lord Dunlop","Northern Ireland (Stormont Agreement and Implementation Plan) Bill"
"http://data.parliament.uk/resources/452753","Government","2016-05-05","northernirelandstormontagreementandimplementationplan.html","http://services.parliament.uk/bills/2015-16/northernirelandstormontagreementandimplementationplan.html","1744","Northern Ireland (Stormont Agreement and Implementation Plan)","2015-2016","Mrs Theresa Villiers","Northern Ireland (Stormont Agreement and Implementation Plan) Bill"
"http://data.parliament.uk/resources/514570","Ten Minute Rule","2016-05-05","farmproducelabellingrequirements.html","http://services.parliament.uk/bills/2015-16/farmproducelabellingrequirements.html","1764","Farm Produce (Labelling Requirements)","2015-2016","Mrs Anne Main","Farm Produce (Labelling Requirements) Bill"
"http://data.parliament.uk/resources/514894","Presentation","2016-05-05","propertyownershipinlondonregistration.html","http://services.parliament.uk/bills/2015-16/propertyownershipinlondonregistration.html","1765","Property Ownership in London (Registration)","2015-2016","Frank Field","Property Ownership in London (Registration) Bill"
"http://data.parliament.uk/resources/514895","Ten Minute Rule","2016-05-05","forensiclinguisticsstandards.html","http://services.parliament.uk/bills/2015-16/forensiclinguisticsstandards.html","1766","Forensic Linguistics (Standards)","2015-2016","Roger Mullin","Forensic Linguistics (Standards) Bill"
"http://data.parliament.uk/resources/393666","Ballot","2016-04-29","defenceexpenditurenatotarget.html","http://services.parliament.uk/bills/2015-16/defenceexpenditurenatotarget.html","1633","Defence Expenditure (NATO Target)","2015-2016","Sir Gerald Howarth","Defence Expenditure (NATO Target) Bill"
"http://data.parliament.uk/resources/393698","Presentation","2016-04-29","ukborderscontrol.html","http://services.parliament.uk/bills/2015-16/ukborderscontrol.html","1665","UK Borders Control","2015-2016","Mr Christopher Chope","UK Borders Control  Bill"
